10,0.30447,-0.036688,0.68743,0.1281,0.0041589,0.10269,0.0015713,-0.23196,-0.00023098
11,0.21124,-0.030584,0.79948,0.087692,0.0075853,0.081139,0.014052,-0.16836,-0.020031
12,0.23434,-0.24678,1.027,0.11943,0.0076448,0.099876,0.036125,-0.24757,-0.016599
13,0.064358,-0.031263,0.83533,0.08176,-0.0020362,0.060063,0.025531,-0.14361,-0.012404
14,0.33074,0.063613,0.57394,0.039381,0.0010885,0.035024,-0.010729,-0.063258,0.00060206
15,0.22557,-0.093136,0.76386,0.12702,0.0070975,0.090822,-0.003473,-0.21949,0.0045483
16,0.40507,-0.12152,0.72339,0.10005,0.0093796,0.089069,0.0054667,-0.19894,-0.0044771
17,0.42682,-0.17136,0.87111,0.11384,0.03444,0.13301,0.032446,-0.24755,-0.071859
18,0.32859,-0.27739,0.8564,0.072236,0.014347,0.058531,0.0191,-0.15067,-0.0073316
19,0.28235,-0.73147,1.1127,-0.10945,0.030826,0.05015,0.16284,-0.018934,-0.10865
20,0.25256,-0.1078,0.6708,0.095316,0.0088431,0.10577,0.033005,-0.19959,-0.032074
21,0.14809,-0.15168,0.867,0.099176,0.011769,0.06293,0.0027665,-0.16344,-0.0034751
22,0.25949,-0.063416,0.56669,0.10221,-0.00077381,0.097476,0.012353,-0.20045,0.0032255
23,0.24376,-0.34003,0.84256,0.0753,0.011618,0.056237,0.043238,-0.15219,-0.016516
24,0.19858,-0.057193,0.82799,0.096375,0.0048606,0.079841,0.019141,-0.18085,-0.015176
25,0.28482,-0.019444,0.78226,0.095586,0.0035994,0.082194,0.013656,-0.18467,-0.012195
26,0.40844,-0.1354,0.83199,0.10342,0.024064,0.074836,-0.01808,-0.1774,-0.011444
27,0.29796,-0.085639,0.80876,0.094042,0.020129,0.073842,-0.0047855,-0.16261,-0.01847
28,0.22443,-0.14554,0.91901,0.1501,0.014342,0.11644,0.010515,-0.27294,-0.015808
29,0.52732,-0.082621,0.61297,0.077363,0.019062,0.05521,-0.036337,-0.12915,0.011546
30,0.121,0.086861,1.2575,0.096539,0.0048902,0.055768,0.020389,-0.16828,-0.034199
31,0.3551,-0.091068,0.66751,0.078189,-0.0039609,0.071966,0.018908,-0.16763,0.006335
